"flight","date","growth_stage","subplot","N_rate_kg_ha","index","canopy_polygon_count","canopy_area_m2","n_pixels","n_duplicate_cells_removed","coverage_pct","mean","median","sd","p05","p25","p75","p95","p99","min","max","n_below_minus1","n_above_1","pct_outside_minus1_1"
1,"2024-09-07","V4","P4",300,"MSAVI",36,0.943895080278593,9701,0,99.4726682542855,0.602106789539996,0.602024614810944,0.105357601041043,0.426132023334503,0.529617249965668,0.674095630645752,0.774523913860321,0.840384423732758,0.254121661186218,0.972380638122559,0,0,0
1,"2024-09-07","V4","P4",300,"WDRVI",36,0.943895080278593,9701,0,99.4726682542855,0.256246509757586,0.256789773702621,0.0257223287932988,0.21175479888916,0.239226713776588,0.273938149213791,0.297599136829376,0.312158942222595,0.165022984147072,0.347284615039825,0,0,0
1,"2024-09-07","V4","P5",400,"NDVI",35,1.26525494438559,13046,0,99.7499841349754,0.825693646567229,0.828024327754974,0.0629163622503647,0.716688230633736,0.785041972994804,0.868647009134293,0.924945920705795,0.962452560663223,0.570858418941498,0.999188780784607,0,0,0
1,"2024-09-07","V4","P5",400,"MSAVI",35,1.26525494438559,13099,0,100.200775909762,0.642763898899395,0.643052220344543,0.106777729841173,0.464958837628365,0.569030404090881,0.717100262641907,0.816366016864776,0.885120614767075,0.271095603704453,1.0306441783905,0,6,0.0458050232842202
1,"2024-09-07","V4","P5",400,"WDRVI",35,1.26525494438559,13099,0,100.200775909762,0.268839900729465,0.269901245832443,0.0253334759602918,0.224958671629429,0.25271737575531,0.285927936434746,0.308888050913811,0.324982429146767,0.17109851539135,0.360307157039642,0,0,0
2,"2024-09-14","R5","P1",0,"NDVI",39,1.24420527099943,10171,0,99.4680069848811,0.846519555991384,0.849985122680664,0.0148557503927738,0.817635029554367,0.840575456619263,0.856481313705444,0.863352328538895,0.868038237094879,0.780249297618866,0.876008152961731,0,0,0
2,"2024-09-14","R5","P1",0,"MSAVI",39,1.24420527099943,10171,0,99.4680069848811,0.358072532588906,0.380661636590958,0.122510945563703,0.127254977822304,0.298628360033035,0.44339781999588,0.512033462524414,0.560019898414612,-0.130329340696335,0.684530913829803,0,0,0
2,"2024-09-14","R5","P1",0,"WDRVI",39,1.24420527099943,10171,0,99.4680069848811,0.364475914568409,0.374041020870209,0.0439314515440269,0.279053121805191,0.345342263579369,0.394400656223297,0.416440039873123,0.431778001785278,0.181005105376244,0.458457797765732,0,0,0
2,"2024-09-14","R5","P2",100,"NDVI",36,0.94298891408538,7768,0,100.233853807322,0.849756438219891,0.85182711482048,0.0116359217840144,0.827445489168167,0.843894869089127,0.857945889234543,0.864526104927063,0.868971275687218,0.792645335197449,0.876334130764008,0,0,0
2,"2024-09-14","R5","P2",100,"MSAVI",36,0.94298891408538,7768,0,100.233853807322,0.391236226565641,0.405916437506676,0.103244014491978,0.198844367265701,0.332158826291561,0.465882204473019,0.532364395260811,0.578435565233231,-0.0480308942496777,0.66258692741394,0,0,0
2,"2024-09-14","R5","P2",100,"WDRVI",36,0.94298891408538,7768,0,100.233853807322,0.374035982867793,0.379767775535583,0.0352814841028739,0.306787070631981,0.355361603200436,0.399054192006588,0.420258271694183,0.434862507581711,0.212246492505074,0.459565341472626,0,0,0
2,"2024-09-14","R5","P3",200,"NDVI",36,1.53622605766967,12531,0,99.2527163389661,0.851046773871937,0.853063642978668,0.010673750054764,0.82991549372673,0.846095710992813,0.858261317014694,0.864597737789154,0.869325715303421,0.797543168067932,0.881324350833893,0,0,0
2,"2024-09-14","R5","P3",200,"MSAVI",36,1.53622605766967,12531,0,99.2527163389661,0.402641731344684,0.417410254478455,0.0963304811513451,0.217552602291107,0.350501045584679,0.468069046735764,0.534949988126755,0.584048229455948,-0.00860609393566847,0.709637403488159,0,0,0
